occupancy,description,costs
단독주택,조적조,1213
단독주택,철골조,1223
단독주택,철근콘크리트조,1136
단독주택,목조 ,971
아파트 , ,1444
다세대주택/연립주택, ,1082
1종근린생활시설, ,933
2종근린생활시설, ,963
종교시설, ,1450
문화및집회시설 , ,1318
판매시설, ,1428
운수시설, ,1010
의료시설, ,1345
장례시설, ,1113
교육연구시설, ,891
노유자시설 , ,1231
수련시설, ,891
운동시설, ,1384
공공업무시설, ,1118
일반업무시설, ,895
숙박시설, ,1163
위락시설, ,1163
일반공장, ,678
공해공장, ,1108
창고시설, ,627
위험물저장처리시설 , ,762
자동차관련시설 , ,477
동물및식물관련시설 , ,366
분뇨쓰레기처리시설 , ,366
교정및군사시설 , ,980
발전시설, ,1014
방송통신시설, ,1014
묘지관련시설, ,1113
관광휴게시설, ,896