occupancy,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
단독주택,0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
아파트 ,0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
다세대주택/연립주택,0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
1종근린생활시설,0,3,16,27,36,49,57,63,69,72,76,80
2종근린생활시설,0,2,26,42,56,68,78,83,85,87,88,89
종교시설,0,10,52,72,85,92,95,98,99,100,100,100
문화및집회시설 ,0,10,52,72,85,92,95,98,99,100,100,100
판매시설,0,2,26,42,56,68,78,83,85,87,88,89
운수시설,0,30,60,75,90,90,90,90,90,90,90,90
의료시설,0,25,52,69,81,95,98,98,99,99,99,99
장례시설,0,25.5,44,65,85,94,98,98,99,99,99,99
교육연구시설,0,6.5,25.8,42.8,57,71.5,87.4,97.5,100,100,100,100
노유자시설 ,0,30.5,54,68,83,91,98,98,99,99,99,99
수련시설,0,22,47,67,77,88,94,97,98,98,98,98
운동시설,0,13,45,55,64,73,77,80,82,83,85,87
공공업무시설,0,24,47,64,78,90,97,98,99,99,99,99
일반업무시설,0,1,2,6,10,15,19,24,28,33,38,44
숙박시설,0,5.5,11,19,25,29,34,39,44,49,56,65
위락시설,0,13,45,55,64,73,77,80,82,83,85,87
일반공장,0,4.5,9,23,35,44,52,58,62,65,68,70
공해공장,0,7.5,15,24,34,41,47,52,57,60,63,64
창고시설,0,4.5,9,23,35,44,52,58,62,65,68,70
위험물저장처리시설 ,0,2,20,41,51,62,67,71,73,76,78,79
자동차관련시설 ,0,5.5,11,17,20,23,25,29,35,42,51,63
동물및식물관련시설 ,0,6,20,43,58,65,66,66,67,70,75,76
분뇨쓰레기처리시설 ,0,17,34,44,52,59,64,68,72,75,76,76
교정및군사시설 ,0,22.5,40,58,70,84,91,95,98,98,98,98
발전시설,0,17,34,44,54,60,66,69,75,77,79,79
방송통신시설,0,28,48,62,72,81,87,90,92,93,93,93
묘지관련시설,0,6,20,43,58,65,66,66,67,70,75,76
관광휴게시설,0,13,45,55,64,73,77,80,82,83,85,87