occupancy,description,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
단독주택,목조 ,0,8.2,12.7,16.4,22.6,29.5,34.3,40.3,46.96,53.3,58.6,58.6
단독주택,조적조,0,9.5,14.1,19.2,23.9,31.5,34.9,39.4,45.7,50,52.2,52.2
단독주택,철근콘크리트조,0,8.1,11.9,16.5,22.4,27.3,31.1,37,40.6,42.9,45.3,45.3
단독주택,철골조,0,13.8,19.9,25.8,30.8,37.1,39.7,42.6,48,50.2,53.9,53.9
아파트 , ,0,4.5,11.3,17.4,23,28.1,32.7,39,46.4,51.1,53.1,53.8
다세대주택/연립주택, ,0,3.7,10.5,16.1,20.9,25.9,30.9,36.6,43.1,47.4,49.6,50.1
1종근린생활시설, ,0,2.5,5,8,11,13,16,19,22,25,29,32
2종근린생활시설, ,0,1,9,14,16,18,20,23,26,30,34,38
종교시설, ,0,5,10,11,11,12,12,13,14,14,15,17
문화및집회시설 , ,0,5,10,11,11,12,12,13,14,14,15,17
판매시설, ,0,1,9,14,16,18,20,23,26,30,34,38
운수시설, ,0,4.5,9,11,12,16,20,24,28,30,30,30
의료시설, ,0,2,11,12,13,14,16,17,18,20,22,24
장례시설, ,0,8,16,34,65,80,82,90,92,92,92,92
교육연구시설, ,0,2.5,5,7,9,9,10,11,13,15,17,20
노유자시설 , ,0,3.5,7,10,14,15,15,16,18,20,23,26
수련시설, ,0,4,8,12,15,15,16,17,19,22,25,28
운동시설, ,0,1,1,1,2,5,10,10,15,15,20,20
공공업무시설, ,0,2.5,5,8,13,14,14,15,17,19,22,26
일반업무시설, ,0,0.5,1,2,3,5,8,11,13,16,18,21
숙박시설, ,0,1.5,3,5,6,7,9,12,14,18,21,26
위락시설, ,0,1,9,11,12,14,16,18,20,22,26,29
일반공장, ,0,1,9,14,17,22,26,30,32,35,37,39
공해공장, ,0,1,10,12,15,19,22,26,30,35,39,42
창고시설, ,0,0.5,1,5,10,10,10,10,20,30,50,50
위험물저장처리시설 , ,0,6.5,13,14,19,22,25,28,30,33,34,36
자동차관련시설 , ,0,1.5,3,5,6,7,8,10,13,17,21,25
동물및식물관련시설 , ,0,3,6,11,15,19,25,30,35,41,46,51
분뇨쓰레기처리시설 , ,0,1,2,4,4,4,5,6,8,12,16,21
교정및군사시설 , ,0,2.5,5,8,13,14,14,15,17,19,22,26
발전시설, ,0,32.5,65,65,90,100,100,100,100,100,100,100
방송통신시설, ,0,3,12,14,17,19,23,27,31,35,40,45
묘지관련시설, ,0,3,6,11,15,19,25,30,35,41,46,51
관광휴게시설, ,0,1,9,11,12,14,16,18,20,22,26,29